,item_id,vertical,category,domain,score
0,590602034,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9998
1,523534468,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9976
2,641416750,CE,MOBILE,MLC-CELLPHONES,0.9986
3,541283090,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9968
4,609438042,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9996
5,610865341,HOME & INDUSTRY,INDUSTRY,MLC-POINTS_OF_SALE_KITS,0.996
6,634352041,CE,MOBILE,MLC-CELLPHONES,0.9994
7,631987792,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.9944
8,582188629,HOME & INDUSTRY,HOME&DECOR,MLC-INDOOR_CURTAINS_AND_BLINDS,0.9822
9,538407191,HOME & INDUSTRY,HOME&DECOR,MLC-HOME_LIGHTING_SUPPLIES,0.9804
10,491549031,HOME & INDUSTRY,HOME&DECOR,MLC-BED_SHEETS,0.9782
11,615879515,CE,MOBILE,MLC-CELLPHONES,0.9992
12,514547899,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9942
13,631654974,CE,MOBILE,MLC-CELLPHONES,0.9990000000000001
14,530533595,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9918
15,908510601,CE,MOBILE,MLC-CELLPHONES,0.9988
16,547284733,HOME & INDUSTRY,STATIONARY,MLC-SCREEN_PRINTERS,0.9904
17,587879197,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9984
18,611844936,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9884
19,619600539,CE,COMPUTERS,MLC-NOTEBOOKS,0.9982
20,906344908,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.9876
21,615879553,CE,MOBILE,MLC-CELLPHONES,0.998
22,514542877,APP & SPORTS,SPORTS,MLC-TENTS,0.9872
23,620358521,CE,COMPUTERS,MLC-NOTEBOOKS,0.9978
24,550761266,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9866
25,622127095,CE,MOBILE,MLC-CELLPHONES,0.9974
26,616320566,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9864
27,908530330,CE,MOBILE,MLC-CELLPHONES,0.9972
28,459001916,OTHERS,PET PRODUCTS,MLC-DOG_POTTY_PADS,0.9862
29,914570948,CE,COMPUTERS,MLC-NOTEBOOKS,0.997
30,589892278,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9840000000000001
31,627968639,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9966
32,919672359,APP & SPORTS,SPORTS,MLC-TREADMILLS,0.9838
33,611219774,CE,COMPUTERS,MLC-NOTEBOOKS,0.9964
34,582470102,APP & SPORTS,SPORTS,MLC-STATIONARY_BICYCLES,0.9836
35,908498834,CE,MOBILE,MLC-CELLPHONES,0.9962
36,918156842,APP & SPORTS,SPORTS,MLC-GYM_DUMBBELLS,0.9824
37,921680073,CE,MOBILE,MLC-CELLPHONES,0.9958
38,607992882,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.982
39,926304066,CE,MOBILE,MLC-CELLPHONES,0.9956
40,542058963,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9814
41,639996762,CE,MOBILE,MLC-CELLPHONES,0.9954
42,549471238,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9812
43,640439607,CE,MOBILE,MLC-TABLETS,0.9952
44,916683775,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.981
45,908549725,CE,MOBILE,MLC-CELLPHONES,0.995
46,612924883,HOME & INDUSTRY,INDUSTRY,MLC-LAMINATORS,0.9796
47,639996803,CE,MOBILE,MLC-CELLPHONES,0.9948
48,514542582,APP & SPORTS,SPORTS,MLC-TENTS,0.9794
49,923297867,CE,MOBILE,MLC-CELLPHONES,0.9946
50,628758837,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9790000000000001
51,631654988,CE,MOBILE,MLC-CELLPHONES,0.9940000000000001
52,607191292,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PRESSURE_WASHERS,0.9788
53,627912654,CE,MOBILE,MLC-CELLPHONES,0.9938
54,564308156,OTHERS,PET PRODUCTS,MLC-FLEA_AND_TICK_TREATMENTS,0.9784
55,921680062,CE,MOBILE,MLC-CELLPHONES,0.9936
56,615860824,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.9776
57,534895538,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9934
58,922358018,HOME & INDUSTRY,INDUSTRY,MLC-INDUSTRIAL_ICE_CREAM_MACHINES,0.9774
59,627912324,CE,MOBILE,MLC-CELLPHONES,0.9932
60,599640342,BEAUTY & HEALTH,PERSONAL CARE,MLC-MANICURE_AND_PEDICURE_SUPPLIES,0.977
61,615912958,CE,MOBILE,MLC-CELLPHONES,0.993
62,533695535,APP & SPORTS,SPORTS,MLC-STATIONARY_BICYCLES,0.9768
63,611219771,CE,MOBILE,MLC-CELLPHONES,0.9928
64,596040313,HOME & INDUSTRY,HOME&DECOR,MLC-OUTDOOR_TABLES,0.976
65,910750487,CE,COMPUTERS,MLC-NOTEBOOKS,0.9926
66,552506983,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9756
67,639996794,CE,MOBILE,MLC-CELLPHONES,0.9924
68,539194164,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PRESSURE_WASHERS,0.9754
69,641958478,CE,ELECTRONICS,MLC-TELEVISIONS,0.9922
70,458924811,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_MONITORING_KITS,0.9752
71,611219784,CE,MOBILE,MLC-CELLPHONE_USB_AND_AUXILIARY_ADAPTERS,0.992
72,533929983,ACC,AUTOPARTS,MLC-CAR_LIGHT_BULBS,0.9746
73,605373047,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.9916
74,531445273,APP & SPORTS,SPORTS,MLC-TENTS,0.9740000000000001
75,640437078,CE,MOBILE,MLC-CELLPHONES,0.9914
76,519757958,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.9736
77,908556166,CE,MOBILE,MLC-CELLPHONES,0.9912
78,914573264,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9734
79,609483474,CE,ELECTRONICS,MLC-TELEVISIONS,0.991
80,559582455,HOME & INDUSTRY,HOME&DECOR,MLC-POOL_FILTERS,0.9732
81,635938366,CE,COMPUTERS,MLC-NOTEBOOKS,0.9908
82,454770222,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9722
83,479170694,CE,ELECTRONICS,MLC-WASHING_MACHINES,0.9906
84,494041013,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-PERMANENT_EPILATORS,0.971
85,584717047,CE,MOBILE,MLC-CELLPHONES,0.9902
86,543464984,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9708
87,611219823,CE,MOBILE,MLC-SMARTWATCHES,0.99
88,514111347,HOME & INDUSTRY,HOME&DECOR,MLC-CHRISTMAS_LIGHTS,0.9706
89,640387423,CE,ELECTRONICS,MLC-TELEVISIONS,0.9898
90,545397446,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9704
91,639375956,CE,ELECTRONICS,MLC-TELEVISIONS,0.9896
92,551021803,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.9702
93,635055905,CE,ELECTRONICS,MLC-DRONES,0.9894
94,507778674,HOME & INDUSTRY,STATIONARY,MLC-SCREEN_PRINTERS,0.97
95,612946512,CE,ELECTRONICS,MLC-DRONES,0.9892
96,625848587,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_BRUSH_CUTTERS_AND_STRING_TRIMMERS,0.9688
97,639382873,CE,MOBILE,MLC-SMARTWATCHES,0.9890000000000001
98,489192563,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9684
99,916146567,CE,MOBILE,MLC-CELLPHONES,0.9888
100,524331133,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.9682
101,632390222,CE,MOBILE,MLC-CELLPHONES,0.9886
102,908746162,APP & SPORTS,SPORTS,MLC-STATIONARY_BICYCLES,0.9678
103,514875680,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.9882
104,547836977,OTHERS,ANTIQUES & HOBBIES,MLC-RESINS,0.9674
105,612415807,CE,MOBILE,MLC-SMARTWATCHES,0.988
106,916106933,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_CIRCULAR_SAWS,0.9668
107,602421547,CE,MOBILE,MLC-CELLPHONES,0.9878
108,550760095,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9664
109,929246887,CE,MOBILE,MLC-CELLPHONES,0.9874
110,622419941,HOME & INDUSTRY,HOME&DECOR,MLC-MATTRESSES,0.9658
111,612783482,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.987
112,526565466,HOME & INDUSTRY,HOME&DECOR,MLC-CLOTHES_HANGERS,0.9654
113,611219785,CE,COMPUTERS,MLC-NOTEBOOKS,0.9868
114,911392963,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9652
115,902574727,CE,ELECTRONICS,MLC-TELEVISIONS,0.986
116,576556848,HOME & INDUSTRY,HOME&DECOR,MLC-HOT_TUBS,0.965
117,615912854,CE,MOBILE,MLC-CELLPHONES,0.9858
118,435618168,APP & SPORTS,SPORTS,MLC-CAMPING_AND_FISHING_EQUIPMENT,0.9646
119,575866100,CE,ELECTRONICS,MLC-AIR_CONDITIONERS,0.9856
120,634352002,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-BODYWEIGHT_SCALES,0.9642
121,908510604,CE,MOBILE,MLC-CELLPHONES,0.9854
122,434003528,HOME & INDUSTRY,INDUSTRY,MLC-LAMINATORS,0.9638
123,631655107,CE,MOBILE,MLC-CELLPHONES,0.9852
124,488980309,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-TOOL_AND_CONSTRUCTION_SUPPLIES,0.9634
125,640726870,CE,MOBILE,MLC-TABLETS,0.985
126,566515950,BEAUTY & HEALTH,PHARMACEUTICS,MLC-THERMOMETERS,0.9628
127,920371951,CE,MOBILE,MLC-CELLPHONES,0.9848
128,520642471,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9616
129,908543301,CE,MOBILE,MLC-CELLPHONES,0.9846
130,549493386,HOME & INDUSTRY,HOME&DECOR,MLC-EMERGENCY_LIGHTS,0.9614
131,479170682,CE,ELECTRONICS,MLC-WASHING_MACHINES,0.9844
132,434014257,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-HEALTH_CARE_SUPPLIES,0.9612
133,546757934,CE,COMPUTERS,MLC-HEADPHONES,0.9842
134,531870474,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9604
135,611219814,CE,MOBILE,MLC-CELLPHONES,0.9834
136,487438914,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9596
137,635047128,CE,COMPUTERS,MLC-NOTEBOOKS,0.9832
138,917676690,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9592
139,635055844,CE,ELECTRONICS,MLC-DRONES,0.983
140,636472414,BEAUTY & HEALTH,PHARMACEUTICS,MLC-KNEE_BRACES_SUPPORTS,0.9582
141,640373962,CE,MOBILE,MLC-SMARTWATCHES,0.9828
142,642371547,APP & SPORTS,APPAREL,MLC-JACKETS_AND_COATS,0.9574
143,920472849,CE,MOBILE,MLC-CELLPHONES,0.9826
144,905750854,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-TOOL_BATTERIES,0.9572
145,543082886,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.9818
146,575666973,BEAUTY & HEALTH,PHARMACEUTICS,MLC-THERMOMETERS,0.9570000000000001
147,904106701,CE,MOBILE,MLC-CELLPHONES,0.9816
148,566351112,APP & SPORTS,SPORTS,MLC-TRAINING_MASKS,0.9564
149,627929465,CE,ELECTRONICS,MLC-TELEVISIONS,0.9808
150,901498919,HOME & INDUSTRY,HOME&DECOR,MLC-WALL_AND_CEILING_LIGHTS,0.9562
151,910788362,CE,MOBILE,MLC-CELLPHONES,0.9806
152,925135899,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9558
153,515418185,CE,COMPUTERS,MLC-PRINTERS,0.9802
154,618435770,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PRESSURE_WASHERS,0.9554
155,602456894,CE,COMPUTERS,MLC-NOTEBOOKS,0.98
156,613483179,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9552
157,611219805,CE,MOBILE,MLC-CELLPHONES,0.9798
158,539775429,CPG,PERSONAL HYGIENE,MLC-DISPOSABLE_BABY_DIAPERS,0.955
159,613172747,CE,ELECTRONICS,MLC-TELEVISIONS,0.9792
160,616658548,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9548
161,602521839,CE,MOBILE,MLC-CELLPHONES,0.9786
