,ITE_ITEM_TITLE,ITE_ITEM_TITLE,"Score Similitud (0,1)"
0,Tênis Ascension Posh Masculino - Preto E Vermelho ,Tênis Masculino Ascension Bx1949 - Preto E Marinho,0.5555555555555556
1,Tenis Para Caminhada Super Levinho Spider Corrida ,Tenis Para Caminhada E Corrida,0.5
2,Tênis Feminino Le Parc Hocks Black/ice Original Envio Já,Tênis Feminino Hocks Skatista Le Parc Branco Envio Já Nfe,0.5454545454545454
3,Tênis Olympikus Esportivo Academia Nova Tendência Triunfo ,Tênis Olympikus Esportivo Academia Nova Tendência Johnny 2,0.6666666666666666
4,Inteligente Led Bicicleta Tauda Luz Usb Bicicleta Carregáve,Sapatos De Menina Sapatos De Luz Led,0.2222222222222222
5,Tênis Casual Masculino Zarato 941 Preto 632,Tênis Casual Masculino Zarato Preto 941 / 632,0.875
6,Tênis Infantil Ortopasso Conforto Jogging,Tênis Jogging Preto Infantil Molekinha Conforto,0.5714285714285714
7,Tv Samsung Qled 8k Q800t Semi Nova,"Samsung Smart Tv Qled 8k Q800t 65 , Processador Com Ia",0.4166666666666667
8,Tênis Usthemp Short Temático - Maria Vira-lata 2,Tênis Usthemp Move Temático - Maria Vira-lata 2,0.7777777777777778
9,Sapatênis West Coast Urban Couro Masculino,Sapatênis West Coast Couro Masculino,0.8333333333333334
10,Sapatilha Bike Absolute Nero Mtb Para Pedal Clip Com Tacos,Sapatilha Ciclismo Bike Absolute Nero Mtb + Pedal Clip Tacos,0.8
11,Sapatenis Casual Combo 3 Pares Infantil Dex,3 Pares De Sapatenis Infantil Masculino,0.5
12,Kit Tênis Slip Feminino Com Mochila Grande E Máscara Black ,Tênis Feminino Slip ,0.375
13,adidas Superstar Run Dmc,Tênis Response Run Cinza adidas,0.2857142857142857
14,Tênis Molekinha Chunky Flatform Infantil Sem Cadarço Menina,Tênis Menina Infantil Molekinha,0.5714285714285714
15,Tênis Infantil Feminino Kidy Hype Nude,Tênis Infantil Feminino Kidy Hype,0.8333333333333334
16,Bicicleta Masculina Com Aro 24 Com Nf ,Bicicleta Aro 24 Ultra Masculina,0.6666666666666666
17,Tenis  Feminino Pimenta Doce Plataforma Chunky Sneaker,Tenis Feminino Chunky Alto Sneaker Plataforma  ,0.625
18,Smart Tv Led 40 Philco Ptv40e60sn Full Hd Conversor Digital,Smart Tv Philco Led Full Hd 43 110v/220v,0.5
19,Tênis Actvitta Sevilha Preto,Tênis Actvitta Preto,0.75
20,Tênis Super Star Caminhada Estilo Casual Marinho Unissex +nf,Tênis Super Star Casual Lona Azul Marinho Unissex,0.5454545454545454
21,Tenis Feminino De Fazer Caminhada Corrida Academia Barato,Tenis Feminino Corrida Caminhada Academia Leve,0.625
22,Tenis Feminino Casual  Blogueira Juliette Plataforma,Tenis Plataforma Casual Feminino Monster Chunky Blogueira,0.625
